step,loss,lr,tokens_per_sec,elapsed_sec
1,10.93142700,3.00000000e-04,1647.71,0.31
10,8.25692368,3.00000000e-04,20.40,250.97
20,6.50082779,3.00000000e-04,25.79,397.08
30,6.38053131,3.00000000e-04,26.88,571.39
